MessageId,ConversationId,Sender,Content,Type,CreatedAt
6a4537a3d9e915dc06827759,6a4537a3d9e915dc06827758,6a446e8dbc8a00e9cc2565ac,"This looks good to me. Proceed. (Research discussion)",text,2026-06-02
6a4537a3d9e915dc0682775a,6a4537a3d9e915dc06827758,6a446ca0c565d1d2499d40fd,"Please find the revised version attached. (Placement enquiry)",text,2026-06-02
6a4537a3d9e915dc0682775b,6a4537a3d9e915dc06827758,6a446ca0c565d1d2499d40fd,"Please find the revised version attached. (Internal marks doubt)",text,2026-06-03
6a4537a3d9e915dc0682775c,6a4537a3d9e915dc06827758,6a446e8dbc8a00e9cc2565ac,"The details have been updated in the portal. (Scholarship enquiry)",text,2026-06-03
6a4537a3d9e915dc0682775d,6a4537a3d9e915dc06827758,6a446ca0c565d1d2499d40fd,"I will check and get back to you. (Lab issue)",text,2026-06-04
6a4537a3d9e915dc0682775f,6a4537a3d9e915dc0682775e,6a446c99c565d1d2499d408b,"Can we schedule a quick meeting? (Scholarship enquiry)",text,2026-06-01
6a4537a3d9e915dc06827760,6a4537a3d9e915dc0682775e,6a446e92bc8a00e9cc2565fa,"I have attached the document you requested. (Hostel issue)",text,2026-06-01
6a4537a3d9e915dc06827761,6a4537a3d9e915dc0682775e,6a446e92bc8a00e9cc2565fa,"I am currently looking into this issue. (Transport issue)",text,2026-06-02
6a4537a3d9e915dc06827762,6a4537a3d9e915dc0682775e,6a446c99c565d1d2499d408b,"Thank you for your prompt response. (Exam timetable)",text,2026-06-02
6a4537a3d9e915dc06827763,6a4537a3d9e915dc0682775e,6a446e92bc8a00e9cc2565fa,"I've forwarded this to the concerned department. (Hackathon registration)",text,2026-06-02
6a4537a3d9e915dc06827764,6a4537a3d9e915dc0682775e,6a446c99c565d1d2499d408b,"When is the deadline for this submission? (Leave request)",document,2026-06-03
6a4537a3d9e915dc06827765,6a4537a3d9e915dc0682775e,6a446e92bc8a00e9cc2565fa,"Please approve my request at the earliest. (Hostel issue)",text,2026-06-03
6a4537a3d9e915dc06827766,6a4537a3d9e915dc0682775e,6a446e92bc8a00e9cc2565fa,"The details have been updated in the portal. (Lab issue)",text,2026-06-03
6a4537a3d9e915dc06827767,6a4537a3d9e915dc0682775e,6a446e92bc8a00e9cc2565fa,"When is the deadline for this submission? (Placement enquiry)",text,2026-06-03
6a4537a3d9e915dc06827768,6a4537a3d9e915dc0682775e,6a446c99c565d1d2499d408b,"Thank you for your prompt response. (Hostel issue)",text,2026-06-03
6a4537a3d9e915dc06827769,6a4537a3d9e915dc0682775e,6a446c99c565d1d2499d408b,"This looks good to me. Proceed. (Project discussion)",text,2026-06-03
6a4537a3d9e915dc0682776a,6a4537a3d9e915dc0682775e,6a446c99c565d1d2499d408b,"The details have been updated in the portal. (Hackathon registration)",text,2026-06-04
6a4537a3d9e915dc0682776b,6a4537a3d9e915dc0682775e,6a446c99c565d1d2499d408b,"Please approve my request at the earliest. (Research discussion)",text,2026-06-04
