StudentID,SubjectID,Date,Status,MarkedBy
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048d4,2026-06-30,Present,6a446e8abc8a00e9cc25657e
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048d9,2026-06-30,Present,6a446e8abc8a00e9cc256584
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048de,2026-06-30,Present,6a446e8abc8a00e9cc25658a
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048e3,2026-06-30,Present,6a446e89bc8a00e9cc25656e
6a446c89c565d1d2499d3f9d,6a446ffcd43122f6bc6048e8,2026-06-30,Present,6a446e8abc8a00e9cc256577
6a446c89c565d1d2499d3f9d,6a446ffcd43122f6bc6048ed,2026-06-30,Present,6a446e8abc8a00e9cc25657e
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048d4,2026-06-29,Present,6a446e8abc8a00e9cc25657e
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048d9,2026-06-29,Present,6a446e8abc8a00e9cc256584
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048de,2026-06-29,Present,6a446e8abc8a00e9cc25658a
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048e3,2026-06-29,Present,6a446e89bc8a00e9cc25656e
6a446c89c565d1d2499d3f9d,6a446ffcd43122f6bc6048e8,2026-06-29,Present,6a446e8abc8a00e9cc256577
6a446c89c565d1d2499d3f9d,6a446ffcd43122f6bc6048ed,2026-06-29,Present,6a446e8abc8a00e9cc25657e
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048d4,2026-06-28,Present,6a446e8abc8a00e9cc25657e
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048d9,2026-06-28,Present,6a446e8abc8a00e9cc256584
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048de,2026-06-28,Present,6a446e8abc8a00e9cc25658a
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048e3,2026-06-28,Present,6a446e89bc8a00e9cc25656e
6a446c89c565d1d2499d3f9d,6a446ffcd43122f6bc6048e8,2026-06-28,Present,6a446e8abc8a00e9cc256577
6a446c89c565d1d2499d3f9d,6a446ffcd43122f6bc6048ed,2026-06-28,Present,6a446e8abc8a00e9cc25657e
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048d4,2026-06-25,Present,6a446e8abc8a00e9cc25657e
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048d9,2026-06-25,Present,6a446e8abc8a00e9cc256584
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048de,2026-06-25,Present,6a446e8abc8a00e9cc25658a
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048e3,2026-06-25,Present,6a446e89bc8a00e9cc25656e
6a446c89c565d1d2499d3f9d,6a446ffcd43122f6bc6048e8,2026-06-25,Present,6a446e8abc8a00e9cc256577
6a446c89c565d1d2499d3f9d,6a446ffcd43122f6bc6048ed,2026-06-25,Present,6a446e8abc8a00e9cc25657e
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048d4,2026-06-24,Present,6a446e8abc8a00e9cc25657e
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048d9,2026-06-24,Present,6a446e8abc8a00e9cc256584
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048de,2026-06-24,Present,6a446e8abc8a00e9cc25658a
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048e3,2026-06-24,Present,6a446e89bc8a00e9cc25656e
6a446c89c565d1d2499d3f9d,6a446ffcd43122f6bc6048e8,2026-06-24,Present,6a446e8abc8a00e9cc256577
6a446c89c565d1d2499d3f9d,6a446ffcd43122f6bc6048ed,2026-06-24,Present,6a446e8abc8a00e9cc25657e
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048d4,2026-06-23,Present,6a446e8abc8a00e9cc25657e
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048d9,2026-06-23,Present,6a446e8abc8a00e9cc256584
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048de,2026-06-23,Present,6a446e8abc8a00e9cc25658a
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048e3,2026-06-23,Present,6a446e89bc8a00e9cc25656e
6a446c89c565d1d2499d3f9d,6a446ffcd43122f6bc6048e8,2026-06-23,Present,6a446e8abc8a00e9cc256577
6a446c89c565d1d2499d3f9d,6a446ffcd43122f6bc6048ed,2026-06-23,Present,6a446e8abc8a00e9cc25657e
6a446c89c565d1d2499d3f9d,6a446ffbd43122f6bc6048d4,2026-06-22,Present,6a446e8abc8a00e9cc25657e
